ID,DATE,GDP
1,1/1/48,6.2
2,4/1/48,6.8
3,7/1/48,2.3
4,10/1/48,0.4
5,1/1/49,-5.4
6,4/1/49,-1.4
7,7/1/49,4.2
8,10/1/49,-3.3
9,1/1/50,16.7
10,4/1/50,12.8
11,7/1/50,16.4
12,10/1/50,7.9
13,1/1/51,5.5
14,4/1/51,7.1
15,7/1/51,8.5
16,10/1/51,0.9
17,1/1/52,4.3
18,4/1/52,0.9
19,7/1/52,2.9
20,10/1/52,13.8
21,1/1/53,7.6
22,4/1/53,3.1
23,7/1/53,-2.2
24,10/1/53,-5.9
25,1/1/54,-1.9
26,4/1/54,0.4
27,7/1/54,4.6
28,10/1/54,8.1
29,1/1/55,11.9
30,4/1/55,6.7
31,7/1/55,5.5
32,10/1/55,2.4
33,1/1/56,-1.5
34,4/1/56,3.3
35,7/1/56,-0.4
36,10/1/56,6.7
37,1/1/57,2.6
38,4/1/57,-0.9
39,7/1/57,4
40,10/1/57,-4.1
41,1/1/58,-10
42,4/1/58,2.7
43,7/1/58,9.6
44,10/1/58,9.7
45,1/1/59,7.9
46,4/1/59,9.3
47,7/1/59,0.3
48,10/1/59,1.1
49,1/1/60,9.3
50,4/1/60,-2.1
51,7/1/60,2
52,10/1/60,-5
53,1/1/61,2.7
54,4/1/61,7
55,7/1/61,7.9
56,10/1/61,8.1
57,1/1/62,7.3
58,4/1/62,3.7
59,7/1/62,5
60,10/1/62,1.3
61,1/1/63,4.4
62,4/1/63,4.6
63,7/1/63,9.1
64,10/1/63,2.6
65,1/1/64,8.7
66,4/1/64,4.4
67,7/1/64,6.4
68,10/1/64,1.2
69,1/1/65,10
70,4/1/65,5.1
71,7/1/65,9.2
72,10/1/65,9.5
73,1/1/66,10.1
74,4/1/66,1.4
75,7/1/66,3.4
76,10/1/66,3.3
77,1/1/67,3.6
78,4/1/67,0.2
79,7/1/67,3.8
80,10/1/67,3
81,1/1/68,8.4
82,4/1/68,6.9
83,7/1/68,3.1
84,10/1/68,1.6
85,1/1/69,6.4
86,4/1/69,1.2
87,7/1/69,2.7
88,10/1/69,-1.9
89,1/1/70,-0.6
90,4/1/70,0.6
91,7/1/70,3.7
92,10/1/70,-4.2
93,1/1/71,11.3
94,4/1/71,2.2
95,7/1/71,3.3
96,10/1/71,0.9
97,1/1/72,7.6
98,4/1/72,9.4
99,7/1/72,3.8
100,10/1/72,6.9
101,1/1/73,10.3
102,4/1/73,4.4
103,7/1/73,-2.1
104,10/1/73,3.8
105,1/1/74,-3.4
106,4/1/74,1
107,7/1/74,-3.7
108,10/1/74,-1.5
109,1/1/75,-4.8
110,4/1/75,2.9
111,7/1/75,7
112,10/1/75,5.5
113,1/1/76,9.3
114,4/1/76,3
115,7/1/76,2.2
116,10/1/76,2.9
117,1/1/77,4.8
118,4/1/77,8
119,7/1/77,7.4
120,10/1/77,0
121,1/1/78,1.3
122,4/1/78,16.4
123,7/1/78,4.1
124,10/1/78,5.5
125,1/1/79,0.7
126,4/1/79,0.4
127,7/1/79,3
128,10/1/79,1
129,1/1/80,1.3
130,4/1/80,-8
131,7/1/80,-0.5
132,10/1/80,7.7
133,1/1/81,8.1
134,4/1/81,-2.9
135,7/1/81,4.9
136,10/1/81,-4.3
137,1/1/82,-6.1
138,4/1/82,1.8
139,7/1/82,-1.5
140,10/1/82,0.2
141,1/1/83,5.4
142,4/1/83,9.4
143,7/1/83,8.2
144,10/1/83,8.6
145,1/1/84,8.1
146,4/1/84,7.1
147,7/1/84,3.9
148,10/1/84,3.3
149,1/1/85,3.9
150,4/1/85,3.6
151,7/1/85,6.2
152,10/1/85,3
153,1/1/86,3.8
154,4/1/86,1.8
155,7/1/86,3.9
156,10/1/86,2.2
157,1/1/87,3
158,4/1/87,4.4
159,7/1/87,3.5
160,10/1/87,7
161,1/1/88,2.1
162,4/1/88,5.4
163,7/1/88,2.4
164,10/1/88,5.4
165,1/1/89,4.1
166,4/1/89,3.1
167,7/1/89,3
168,10/1/89,0.8
169,1/1/90,4.4
170,4/1/90,1.5
171,7/1/90,0.3
172,10/1/90,-3.6
173,1/1/91,-1.9
174,4/1/91,3.2
175,7/1/91,2
176,10/1/91,1.4
177,1/1/92,4.9
178,4/1/92,4.4
179,7/1/92,4
180,10/1/92,4.2
181,1/1/93,0.7
182,4/1/93,2.3
183,7/1/93,1.9
184,10/1/93,5.6
185,1/1/94,3.9
186,4/1/94,5.5
187,7/1/94,2.4
188,10/1/94,4.7
189,1/1/95,1.4
190,4/1/95,1.2
191,7/1/95,3.5
192,10/1/95,2.7
193,1/1/96,3
194,4/1/96,6.8
195,7/1/96,3.6
196,10/1/96,4.2
197,1/1/97,2.6
198,4/1/97,6.8
199,7/1/97,5.1
200,10/1/97,3.5
201,1/1/98,4.1
202,4/1/98,3.8
203,7/1/98,5.1
204,10/1/98,6.6
205,1/1/99,3.8
206,4/1/99,3.1
207,7/1/99,5.3
208,10/1/99,7
209,1/1/00,1.5
210,4/1/00,7.5
211,7/1/00,0.5
212,10/1/00,2.5
213,1/1/01,-1.1
214,4/1/01,2.4
215,7/1/01,-1.7
216,10/1/01,1.1
217,1/1/02,3.5
218,4/1/02,2.4
219,7/1/02,1.8
220,10/1/02,0.6
221,1/1/03,2.2
222,4/1/03,3.5
223,7/1/03,7
224,10/1/03,4.7
225,1/1/04,2.2
226,4/1/04,3.1
227,7/1/04,3.8
228,10/1/04,4.1
229,1/1/05,4.5
230,4/1/05,1.9
231,7/1/05,3.6
232,10/1/05,2.6
233,1/1/06,5.4
234,4/1/06,0.9
235,7/1/06,0.6
236,10/1/06,3.5
237,1/1/07,0.9
238,4/1/07,2.3
239,7/1/07,2.2
240,10/1/07,2.5
241,1/1/08,-2.3
242,4/1/08,2.1
243,7/1/08,-2.1
244,10/1/08,-8.4
245,1/1/09,-4.4
246,4/1/09,-0.6
247,7/1/09,1.5
248,10/1/09,4.5
249,1/1/10,1.5
250,4/1/10,3.7
251,7/1/10,3
252,10/1/10,2
253,1/1/11,-1
254,4/1/11,2.9
255,7/1/11,-0.1
256,10/1/11,4.7
257,1/1/12,3.2
258,4/1/12,1.7
259,7/1/12,0.5
260,10/1/12,0.5
261,1/1/13,3.6
262,4/1/13,0.5
263,7/1/13,3.2
264,10/1/13,3.2
265,1/1/14,-1
266,4/1/14,5.1
267,7/1/14,4.9
268,10/1/14,1.9
269,1/1/15,3.3
270,4/1/15,3.3
271,7/1/15,1
